company_name,company_domain,linkedin_slug,employees,size_band,decision,confidence,fit_score,rationale,checked_at
Karo Healthcare,karohealthcare.com,karohealthcare,554,201-1000,not_fit,high,28,"Karo Healthcare's website says it is a consumer healthcare company focused on branded OTC products and some prescription medicines, with operations across Europe and products sold in 90+ countries. However, the site also highlights vitamins/minerals/supplements and consumer health rather than a clear biotech, CRO, CDMO, or small-to-mid pharma development profile for PhD-level pharma talent. It appears to be a consumer health platform, not an in-scope drug-development employer for this ICP.",2026-05-21T16:39:49.433442+00:00
STACKIT,stackit.com,stackit-cloud-colocation,503,201-1000,not_fit,high,8,"STACKIT's website says it is a sovereign cloud and colocation provider, but it is part of Schwarz Group / Schwarz Digits rather than a pharma, biotech, CRO, or CDMO company. Its global parent group is far above the 2000-employee limit, so despite a European operating location it does not match the ICP.",2026-05-21T16:39:52.079107+00:00
pladis Global,,pladisglobal,3583,,not_fit,high,0,3583 employees is outside the ICP 50-2000 band; dropped on size before website research.,2026-05-21T16:39:52.080293+00:00
Sunday Natural,sunday.de,sunday-natural-products-gmbh,394,201-1000,not_fit,high,5,"Sunday Natural's website describes it as a premium nutrition brand focused on vitamins, supplements, teas, superfoods, and essential oils, which places it in nutraceuticals rather than pharma/biotech/CRO/CDMO. Its Berlin presence is in scope geographically, but the business is a consumer health/supplement company and is explicitly outside the ICP.",2026-05-21T16:39:54.899212+00:00
SERB Pharmaceuticals,serb.com,serb-pharmaceuticals,559,201-1000,fit,high,93,"SERB Pharmaceuticals states on its website that it is a specialty pharmaceutical company focused on rare diseases, rare emergency medicine, and rare oncology, with a direct presence in Europe including France, Belgium, and the UK. Its global footprint and LinkedIn headcount of 559 place it within the ICP size range, and it is not a pure distributor or non-pharma business.",2026-05-21T16:39:57.440993+00:00
Johnson & Johnson Innovative Medicine,,jnjinnovativemedicine,38642,,not_fit,high,0,38642 employees is outside the ICP 50-2000 band; dropped on size before website research.,2026-05-21T16:39:57.440993+00:00
NEWCHEM SPA,newchemspa.com,newchem-spa,206,201-1000,fit,medium,84,"Newchem's website says it is an Italian pharmaceutical company with production facilities in Verona and Pavia and head offices in Milan, manufacturing GMP active pharmaceutical ingredients such as corticosteroids, hormones, and prostaglandins. That places it in pharma manufacturing with EU operating locations, and the available information suggests a mid-sized company rather than a large pharma group.",2026-05-21T16:40:00.372634+00:00
Aztec Medical,,aztec-medical,13,,not_fit,high,0,13 employees is outside the ICP 50-2000 band; dropped on size before website research.,2026-05-21T16:40:00.373405+00:00
Crovelis,,crovelis,3,,not_fit,high,0,3 employees is outside the ICP 50-2000 band; dropped on size before website research.,2026-05-21T16:40:00.373632+00:00
Inizio Engage,,inizio-engage,2322,,not_fit,high,0,2322 employees is outside the ICP 50-2000 band; dropped on size before website research.,2026-05-21T16:40:00.373632+00:00
Astellas Pharma,,astellaspharmainc,12392,,not_fit,high,0,12392 employees is outside the ICP 50-2000 band; dropped on size before website research.,2026-05-21T16:40:00.373632+00:00
Pharmaxim AB,,pharmaxim,32,,not_fit,high,0,32 employees is outside the ICP 50-2000 band; dropped on size before website research.,2026-05-21T16:40:00.373632+00:00
bp,,bp,81064,,not_fit,high,0,81064 employees is outside the ICP 50-2000 band; dropped on size before website research.,2026-05-21T16:40:00.373632+00:00
University of Warwick,,uniofwarwick,,,not_fit,high,0,None employees is outside the ICP 50-2000 band; dropped on size before website research.,2026-05-21T16:40:00.373632+00:00
IQVIA Laboratories,,iqvia-laboratories,2721,,not_fit,high,0,2721 employees is outside the ICP 50-2000 band; dropped on size before website research.,2026-05-21T16:40:00.373632+00:00
ICON Strategic Solutions,,icon-strategic-solutions,7499,,not_fit,high,0,7499 employees is outside the ICP 50-2000 band; dropped on size before website research.,2026-05-21T16:40:00.373632+00:00
Unora GmbH,unorahealth.com,unora-gmbh,55,50-200,not_fit,high,8,"The company website describes Unora as an ostomy care and skin protection solutions provider, i.e. a medical/health product business rather than biotech, pharma, CRO, or CDMO running clinical trials. It has a Berlin presence, but the site does not indicate drug development or any pharma/biotech pipeline, so it falls outside the ICP.",2026-05-21T16:40:03.434501+00:00
Sinclair,sinclair.com,sinclair-ltd,604,201-1000,not_fit,high,5,"Sinclair's website describes it as a global medical aesthetics company with injectable, threads, and energy-based device products, not a biotech, pharma drug-development, CRO, or clinical-trial CDMO business. It also appears to be part of Huadong Medicine and focuses on aesthetic dermatology and medical devices, which are outside the ICP.",2026-05-21T16:40:06.210001+00:00
Kenvue,,kenvue,19686,,not_fit,high,0,19686 employees is outside the ICP 50-2000 band; dropped on size before website research.,2026-05-21T16:40:06.210001+00:00
Hazera Seeds,hazera.com,hazera-seeds,688,201-1000,not_fit,high,5,"Hazera's website says it breeds, develops, produces and markets vegetable seeds, so it is an agri-seed company rather than a biotech or pharma company in the ICP. The site also says Hazera is part of the Limagrain Group, which is a much larger agri-business, so this is not a target pharma/biotech employer for PhD-level drug-development talent.",2026-05-21T16:40:10.910728+00:00
targetjobs UK,targetjobs.co.uk,targetjobsuk,58,50-200,not_fit,high,3,"The company website describes targetjobs as a graduate careers hub and employer advertising/job board, not a biotech, pharma, CRO, or CDMO operating in drug development. It is a recruitment/media service, which is explicitly excluded from the ICP, even though it has UK hiring locations and a small employee count.",2026-05-21T16:40:13.833834+00:00
BAUER KOMPRESSOREN GmbH,bauer-kompressoren.de,bauer-kompressoren-gmbh,143,50-200,not_fit,high,5,"The website shows BAUER KOMPRESSOREN makes high-pressure compressors and systems for industrial uses like breathing air, CNG/biogas, and general industrial sectors, not drug discovery, biotech, pharma, CRO, or CDMO activities. It is an industrial machinery manufacturer rather than a pharma/biotech employer, so it does not match the ICP.",2026-05-21T16:40:16.784579+00:00
Sonoco,,sonoco,10722,,not_fit,high,0,10722 employees is outside the ICP 50-2000 band; dropped on size before website research.,2026-05-21T16:40:16.784976+00:00
Parexel,,parexel,20424,,not_fit,high,0,20424 employees is outside the ICP 50-2000 band; dropped on size before website research.,2026-05-21T16:40:16.784976+00:00
Integra LifeSciences,,integra-lifesciences,3867,,not_fit,high,0,3867 employees is outside the ICP 50-2000 band; dropped on size before website research.,2026-05-21T16:40:16.784976+00:00
Organon,,organon,7377,,not_fit,high,0,7377 employees is outside the ICP 50-2000 band; dropped on size before website research.,2026-05-21T16:40:16.785476+00:00
